Shelf No.	Loc.ID	Name	Size	UOM	UPC-Barcode	Stockcode	Facings
Shelf 11	76	NT BUTTER QUARTERS 	1.00	LB	U(a39779*KMKKQn(X	20066	7
Shelf 12	77	FRENCH ONION DIP 	8.00	OZ	w(h50388*LKMKPp(u	111401	1
Shelf 12	78	DEANS FRENCH ONION DIP 	16.00	OZ	U(a26700*LMTLPp(u	20205	1
Shelf 12	79	SOUR CREAM 	8.00	OZ	w(h50388*LKLKPs(x	925194	2
Shelf 12	80	TOP THE TATER 	12.00	OZ	U(a70801*QOSKKs(x	20208	1
Shelf 12	81	SABRA ROASTED RED PEPPER HUMMUS 10 OZ 	10.00	OZ	U(a40822*KLLPOt(y	922130	1
Shelf 13	82	DEANS CREAMY DILL DIP 	8.00	OZ	U(a26700*LMTKQn(X	20203	1
Shelf 13	83	PHILLY CREAM CHEESE BAR 	8.00	OZ	U(a21000*QLMMNt(y	20344	1
Shelf 13	84	PHILLY ONION & CHIVE CREAM CHEESE TUB 	8.00	OZ	U(a21000*KKRMSs(x	20343	1
Shelf 13	85	KEMPS 2% LOWFAT COTTAGE CHEESE 16 OZ 	16.00	OZ	U(a41483*KNQLKk(U	923657	1
Shelf 13	86	FIESTA FRESH SALSA 	16.00	OZ	x(i29595*KKKKLr(w	30565	1
Shelf 13	87	WHOLLY GUACAMOLE BOWL CLASSIC 	7.50	OZ	v(g16112*SQQRKm(W	928425	1
Shelf 14	92	CRYSTAL FARMS AMERICAN CHEESE SLICES 	12.00	OZ	U(a75925*NKKLRr(w	920929	1
Shelf 14	93	CRYSTAL FARMS WISCONSIN SHARP CHEDDAR C... 	8.00	OZ	U(a75925*NKLKPl(V	920928	1
Shelf 14	94	CRYSTAL FARMS PEPPER JACK CHEESE 	8.00	OZ	U(a75925*NKKSTo(Y	920927	1
CC Rack-1	88	PHILLY CREAM CHEESE ONION CHIVE 	1.00	OZ	U(a21000*RMQSPl(V	20738	1
CC Rack-1	89	PHILLY CREAM CHEESE STRAWBERRY 	1.00	OZ	U(a21000*RMQSNr(w	20737	1
CC Rack-1	95	BUTTER SINGLE SERVE 	1.00	CT	U(a99999*PMKLQn(X	520163	1
Shelf 15	96	CRYSTAL FARMS MOZZARELLA FINE SHREDDED C... 	8.00	OZ	U(a75925*NKQNLp(u	920926	1
Shelf 15	97	CRYSTAL FARMS MILD CHEDDAR FINE SHREDDED... 	8.00	OZ	U(a75925*NKQMTm(W	920925	1
Shelf 15	98	KC MEDIUM CHEDDAR CHEESE SLICES 8 OZ 	8.00	OZ	U(a39779*KKKQMl(V	920887	1
Shelf 15	99	KC COLBY JACK CHEESE SLICES 8 OZ 	8.00	OZ	U(a39779*KKKQNs(x	920888	1
Shelf 15	100	KC STRING CHEESE REGULAR 12 OZ BAG 	12.00	OZ	U(a39779*KMKQRo(Y	20672	1
Shelf 16	101	KEMPS SELECT HEAVY WHIPPED CREAM 13 OZ 	12.00	CT	U(a41483*KOMQKq(v	925331	1
Shelf 16	102	KEMPS HEAVY WHIPPING CREAM 	8.00	OZ	U(a41483*KKQOQm(W	111303	1
Shelf 16	103	INT DELIGHT FR VAN 	16.000	Z	U(a41271*KMPQMk(U	20636	1
Shelf 16	104	NT CINN HAZELNUT CREAMER 	16.00	OZ	U(a39779*LLLMNp(u	111206	1
Shelf 16	105	NT IRISH CREAM CREAMER 	16.00	OZ	U(a39779*LLLNMr(w	111207	1
Shelf 16	106	NT FRENCH VANILLA CREAMER 	16.00	OZ	U(a39779*LLLMMs(x	111205	1
Shelf 16	107	NT 1/2 & 1/2 PINT 	16.00	OZ	U(a39779*LLLMLl(V	111204	1
Shelf 16	108	NATURE'S TOUCH FRENCH VANILLA CREAMER 	1.00	QT	U(a39779*LLMRKq(v	111215	1
Shelf 16	109	NT 1/2 & 1/2 QUART 	1.00	QT	U(a39779*LLLNNo(Y	111208	1
CC Rack -2	90	PHILLY CREAM CHEESE REDUC FAT 	1.00	OZ	U(a21000*QLKTPm(W	20740	1
CC Rack -2	91	PHILLY CREAM CHEESE ORIG 	1.00	OZ	U(a21000*QLLLTp(u	20739	1
Deleted Items- Adjust...	110	NAKED BERRY BLAST 	15.20	OZ	U(a82592*TSSLPr(w	4013	1
Deleted Items- Adjust...	111	NAKED MIGHTY MANGO 	15.20	OZ	U(a82592*QQKLPm(W	4011	1
Deleted Items	112	STARBUCKS COLD BREW COFFEE COCOA & HONE... 	11.00	OZ	U(a12000*LQMPOl(V	PEPSI	1
Deleted Items	113	STARBUCKS COLD BREW COFFEE BLACK UNSWEE... 	11.00	OZ	U(a12000*LQMPMr(w	PEPSI	1
Added Items	34	STARBUCKS NITRO SWEET CREAM 	9.60	OZ	U(a12000*LTMTKq(v	PEPSI	1
Added Items	46	MONSTER JAVA MEAN BEAN 	15.00	OZ	U(a70847*SLMQKt(y	COKE	1
Added Items	47	MONSTER JAVA LOCA MOCHA 	15.00	OZ	U(a70847*SLMRLp(u	COKE	1
Added Items	63	STARBUCKS TRIPLE SHOT ENERGY EXT ST FR VA... 	15.00	OZ	U(a12000*LSLNLn(X	PEPSI	1
